# Downloaded from https://figshare.com/articles/dataset/OKCupid_Datasets/14987388
d_age,d_gender,q36355,q45632,q49093,q45835,q12584
29,Man,Yes.,No.,Perfectly fine.,Sun,Yes
38,Man,Yes.,No.,Perfectly fine.,Sun,No
24,Man,Yes.,No.,Utterly wrong.,Rain,Yes
35,Man,Yes.,No.,Utterly wrong.,Rain,Yes
26,Man,No.,No.,Utterly wrong.,Rain,Yes
22,Woman,Yes.,No.,Utterly wrong.,Sun,Yes
30,Man,No.,No.,OK sometimes.,Sun,Yes
38,Woman,No.,No.,Utterly wrong.,Rain,Yes
36,Man,No.,No.,Not a subject I have an opinion on.,Cloudy,Yes
28,Man,Yes.,Yes.,Perfectly fine.,Sun,Yes
30,Woman,No.,No.,Not a subject I have an opinion on.,Sun,Yes
39,Man,Yes.,No.,OK sometimes.,Sun,Yes
29,Man,No.,No.,Utterly wrong.,Rain,No
33,Man,Yes.,No.,Not a subject I have an opinion on.,Sun,Yes
30,Woman,Yes.,No.,Utterly wrong.,Sun,Yes
37,Man,No.,No.,Not a subject I have an opinion on.,Snow,Yes
39,Man,Yes.,No.,Not a subject I have an opinion on.,Cloudy,No
30,Woman,No.,No.,Utterly wrong.,Snow,Yes
40,Man,Yes.,No.,OK sometimes.,Sun,Yes
35,Woman,No.,No.,Utterly wrong.,Snow,Yes
43,Man,No.,No.,Utterly wrong.,Sun,Yes
33,Man,No.,No.,Not a subject I have an opinion on.,Cloudy,No
33,Man,Yes.,No.,Utterly wrong.,Sun,Yes
33,Man,No.,No.,Perfectly fine.,Rain,Yes
24,Man,No.,No.,Perfectly fine.,Sun,Yes
31,Man,Yes.,No.,Not a subject I have an opinion on.,Rain,Yes
35,Woman,No.,No.,OK sometimes.,Sun,No
39,Man,No.,No.,Utterly wrong.,Sun,Yes
30,Woman,No.,No.,Utterly wrong.,Snow,Yes
35,Man,No.,Yes.,Utterly wrong.,Sun,Yes
28,Man,No.,No.,Perfectly fine.,Rain,No
34,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
32,Man,No.,No.,Utterly wrong.,Sun,Yes
30,Woman,No.,No.,OK sometimes.,Sun,Yes
44,Man,No.,No.,Utterly wrong.,Sun,Yes
33,Woman,No.,No.,Utterly wrong.,Sun,Yes
37,Man,Yes.,Yes.,Utterly wrong.,Snow,Yes
47,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
24,Woman,No.,No.,Utterly wrong.,Snow,Yes
34,Woman,No.,No.,Utterly wrong.,Sun,Yes
32,Man,Yes.,No.,OK sometimes.,Sun,Yes
39,Man,No.,No.,OK sometimes.,Rain,Yes
33,Man,No.,No.,OK sometimes.,Sun,Yes
38,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
30,Man,Yes.,No.,Utterly wrong.,Sun,Yes
37,Man,No.,No.,Utterly wrong.,Snow,Yes
37,Man,No.,No.,Not a subject I have an opinion on.,Rain,No
37,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
24,Man,No.,No.,OK sometimes.,Snow,Yes
42,Man,No.,No.,Utterly wrong.,Sun,Yes
31,Man,Yes.,Yes.,OK sometimes.,Cloudy,Yes
36,Man,Yes.,No.,Utterly wrong.,Snow,No
24,Man,No.,No.,Not a subject I have an opinion on.,Cloudy,No
30,Man,No.,No.,OK sometimes.,Sun,Yes
25,Man,No.,No.,Perfectly fine.,Cloudy,Yes
40,Man,No.,No.,Not a subject I have an opinion on.,Rain,Yes
41,Man,Yes.,No.,Utterly wrong.,Sun,Yes
24,Woman,No.,No.,OK sometimes.,Rain,No
35,Man,Yes.,No.,Utterly wrong.,Sun,Yes
25,Woman,No.,No.,Utterly wrong.,Cloudy,Yes
25,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
31,Man,Yes.,No.,Not a subject I have an opinion on.,Sun,Yes
57,Man,No.,No.,Utterly wrong.,Cloudy,Yes
34,Woman,No.,No.,Not a subject I have an opinion on.,Sun,Yes
28,Man,Yes.,No.,Perfectly fine.,Sun,Yes
24,Woman,Yes.,No.,OK sometimes.,Sun,No
29,Woman,No.,Yes.,Utterly wrong.,Rain,Yes
34,Man,No.,No.,OK sometimes.,Sun,No
31,Man,No.,No.,Utterly wrong.,Sun,Yes
30,Woman,No.,No.,Utterly wrong.,Rain,Yes
28,Man,No.,No.,Utterly wrong.,Sun,Yes
49,Man,No.,Yes.,Not a subject I have an opinion on.,Rain,No
26,Man,Yes.,No.,Not a subject I have an opinion on.,Rain,Yes
35,Man,No.,No.,Not a subject I have an opinion on.,Rain,Yes
39,Man,No.,No.,Perfectly fine.,Cloudy,Yes
22,Man,Yes.,Yes.,OK sometimes.,Rain,Yes
30,Man,Yes.,No.,Utterly wrong.,Rain,Yes
36,Man,Yes.,No.,OK sometimes.,Snow,Yes
28,Man,No.,Yes.,OK sometimes.,Rain,Yes
25,Man,No.,No.,Not a subject I have an opinion on.,Cloudy,Yes
40,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
39,Man,No.,No.,Utterly wrong.,Sun,Yes
29,Woman,No.,No.,Utterly wrong.,Sun,Yes
30,Man,Yes.,No.,Not a subject I have an opinion on.,Snow,Yes
36,Man,No.,No.,Utterly wrong.,Sun,Yes
37,Man,Yes.,Yes.,Utterly wrong.,Sun,Yes
35,Man,Yes.,No.,Not a subject I have an opinion on.,Sun,Yes
33,Man,Yes.,No.,Utterly wrong.,Rain,Yes
30,Man,Yes.,No.,OK sometimes.,Rain,Yes
27,Woman,No.,No.,Utterly wrong.,Snow,No
32,Man,No.,No.,Utterly wrong.,Cloudy,No
30,Man,No.,No.,Utterly wrong.,Rain,Yes
32,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
36,Woman,No.,No.,Utterly wrong.,Sun,Yes
44,Woman,No.,No.,Utterly wrong.,Sun,Yes
36,Man,No.,No.,OK sometimes.,Sun,Yes
33,Woman,Yes.,No.,Utterly wrong.,Rain,No
27,Woman,No.,No.,Utterly wrong.,Sun,Yes
34,Woman,No.,No.,Utterly wrong.,Snow,Yes
29,Man,Yes.,No.,OK sometimes.,Snow,Yes
30,Man,No.,No.,Perfectly fine.,Sun,Yes
33,Man,No.,No.,Utterly wrong.,Cloudy,No
46,Man,No.,No.,Perfectly fine.,Cloudy,Yes
21,Woman,No.,No.,Utterly wrong.,Cloudy,Yes
30,Man,No.,No.,Utterly wrong.,Sun,No
28,Man,Yes.,Yes.,Utterly wrong.,Sun,Yes
42,Woman,Yes.,Yes.,Utterly wrong.,Sun,Yes
41,Man,No.,No.,Utterly wrong.,Sun,Yes
35,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
23,Man,Yes.,No.,Utterly wrong.,Snow,Yes
29,Man,No.,No.,Utterly wrong.,Snow,Yes
24,Woman,Yes.,No.,Not a subject I have an opinion on.,Cloudy,Yes
32,Man,No.,No.,OK sometimes.,Rain,No
40,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
33,Man,No.,No.,Perfectly fine.,Rain,No
35,Man,No.,No.,Utterly wrong.,Snow,Yes
32,Woman,No.,No.,Utterly wrong.,Sun,Yes
28,Man,No.,No.,Utterly wrong.,Rain,Yes
37,Man,No.,No.,Utterly wrong.,Sun,Yes
31,Man,Yes.,No.,Not a subject I have an opinion on.,Cloudy,Yes
26,Man,No.,No.,Utterly wrong.,Cloudy,Yes
25,Woman,No.,No.,Utterly wrong.,Snow,Yes
53,Man,No.,No.,Utterly wrong.,Sun,Yes
33,Man,Yes.,No.,Utterly wrong.,Sun,Yes
27,Woman,Yes.,No.,Utterly wrong.,Snow,No
30,Woman,No.,No.,Not a subject I have an opinion on.,Cloudy,Yes
38,Man,No.,Yes.,Utterly wrong.,Snow,Yes
33,Man,Yes.,No.,Not a subject I have an opinion on.,Sun,Yes
39,Man,No.,No.,Not a subject I have an opinion on.,Cloudy,Yes
39,Man,No.,No.,Not a subject I have an opinion on.,Rain,Yes
34,Woman,Yes.,No.,Utterly wrong.,Rain,Yes
36,Man,No.,No.,OK sometimes.,Sun,No
41,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
49,Man,No.,Yes.,OK sometimes.,Sun,Yes
27,Woman,No.,No.,Utterly wrong.,Sun,No
27,Man,No.,Yes.,Utterly wrong.,Rain,Yes
35,Woman,Yes.,No.,Utterly wrong.,Rain,Yes
38,Man,No.,No.,Utterly wrong.,Sun,Yes
25,Man,Yes.,No.,Utterly wrong.,Rain,Yes
40,Man,No.,No.,OK sometimes.,Sun,Yes
33,Man,No.,No.,Not a subject I have an opinion on.,Sun,Yes
40,Woman,No.,No.,Utterly wrong.,Sun,Yes
41,Man,Yes.,No.,Utterly wrong.,Sun,No
44,Man,No.,No.,Perfectly fine.,Sun,Yes
41,Man,No.,No.,OK sometimes.,Sun,Yes
37,Man,No.,No.,Utterly wrong.,Sun,Yes
48,Man,No.,No.,Not a subject I have an opinion on.,Cloudy,No
33,Man,No.,No.,Not a subject I have an opinion on.,Sun,No
